path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
data/artifacts/task_576_microstructure_aware_continuation_backtest/task576_microstructure_assignment_panel.csv,data,.csv,21825204,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_577_historical_nbbo_trajectory_factor_rebuild/nbbo_trajectory_feature_panel.csv,data,.csv,33479982,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_578_regime_vwap_nbbo_trajectory_backtest/nbbo_trajectory_backtest_panel.csv,data,.csv,33774783,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/artifacts/task_581_quote_pressure_price_response_refinement/quote_pressure_price_response_panel.csv,data,.csv,37505502,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/backtest/trades.json,data,.json,305517,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/catalog.py,data,.py,666,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/quality.py,data,.py,1004,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
data/task384_offline_canonical_smoke_continuation_capture.jsonl,data,.jsonl,3629,DERIVED_OR_RUNTIME_DATA,NEEDS_REVIEW,HIGH,Data output or runtime-derived material; owner review required.
docs/tmp/task_068B_risk_grid.checkpoint.json,docs,.json,147843,TMP_OR_CHECKPOINT,NEEDS_REVIEW,MEDIUM,Temporary/checkpoint file may be historical validation evidence.
docs/tmp/tmp_post_068c_validation.json,docs,.json,11706,TMP_OR_CHECKPOINT,NEEDS_REVIEW,MEDIUM,Temporary/checkpoint file may be historical validation evidence.
docs/tmp/tmp_pre_068c_validation.json,docs,.json,11706,TMP_OR_CHECKPOINT,NEEDS_REVIEW,MEDIUM,Temporary/checkpoint file may be historical validation evidence.
downloads/tailscale-setup-1.98.2-amd64.msi,downloads,.msi,36501504,LOCAL_INSTALLER_OR_DOWNLOAD,NEEDS_REVIEW,MEDIUM,Downloaded local installer; owner should confirm before deletion.
frontend_data/catalog/acceptance_status_catalog.json,frontend_data,.json,16334,POSSIBLE_DUPLICATE_GENERATED_CATALOG,NEEDS_REVIEW,HIGH,May duplicate frontend public catalog; consumer review required.
frontend_data/catalog/paper_ops_runtime_catalog.json,frontend_data,.json,3339210,POSSIBLE_DUPLICATE_GENERATED_CATALOG,NEEDS_REVIEW,HIGH,May duplicate frontend public catalog; consumer review required.
frontend_data/catalog/paper_trade_detail_view.json,frontend_data,.json,859208,POSSIBLE_DUPLICATE_GENERATED_CATALOG,NEEDS_REVIEW,HIGH,May duplicate frontend public catalog; consumer review required.
