path,top_dir,suffix,size_bytes,class,recommendation,delete_risk,reason
src/app/__pycache__/run_trade_loop.cpython-313.pyc,src,.pyc,9360,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/run_trade_once.cpython-313.pyc,src,.pyc,29822,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/supervisor_slack_alert.cpython-313.pyc,src,.pyc,4242,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_085_paper_pilot.cpython-313.pyc,src,.pyc,22693,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_087_pilot_evidence.cpython-313.pyc,src,.pyc,35696,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_088_evidence_decision.cpython-313.pyc,src,.pyc,21340,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_089_market_data_signal_refresh.cpython-313.pyc,src,.pyc,44999,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_091_broker_lifecycle_gate.cpython-313.pyc,src,.pyc,29246,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_091a_controlled_broker_lifecycle.cpython-313.pyc,src,.pyc,45590,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_092_signal_alignment_audit.cpython-313.pyc,src,.pyc,21301,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_337_historical_intraday_backfill.cpython-313.pyc,src,.pyc,11703,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_389_alpaca_intraday_ohlcv_export.cpython-313.pyc,src,.pyc,15119,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_582_kis_paper_trading_bridge.cpython-313.pyc,src,.pyc,18695,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_583_live_signal_refresh_repair.cpython-313.pyc,src,.pyc,30052,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_584_runtime_strategy_decision_gate.cpython-313.pyc,src,.pyc,26714,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_585_kis_paper_order_execution.cpython-313.pyc,src,.pyc,40586,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_586_frontend_paper_ops_integration.cpython-313.pyc,src,.pyc,6227,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_587_slack_trading_report_integration.cpython-313.pyc,src,.pyc,10282,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_588_kis_paper_market_hours_runtime_loop.cpython-313.pyc,src,.pyc,12805,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_589_paper_eod_slack_report.cpython-313.pyc,src,.pyc,65574,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_600_3_runtime_exit_engine.cpython-313.pyc,src,.pyc,35698,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_600_602_2_acceptance_blocker_forensics.cpython-313.pyc,src,.pyc,47468,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
src/app/__pycache__/task_600_603_acceptance_program_implementation.cpython-313.pyc,src,.pyc,45561,GENERATED_CACHE,DELETE_SAFE,LOW,Regenerable Python cache.
