relation_graph_id,symbol,decision_asof_ts,evidence_edge_ids,support_score,risk_score,context_score,blocker_score,net_direction_score,coverage_score,graph_state,critical_blocker_flags,noncritical_gap_flags,confidence_floor,confidence_weighted_mean,diagnostic_only
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2024-07-08|CONT-0021,AAPL,2024-08-05T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-07-08|CONT-0021|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-07-08|CONT-0021|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-07-08|CONT-0021|000003|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-07-08|CONT-0021|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2024-10-15|CONT-0022,AAPL,2024-11-12T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-10-15|CONT-0022|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-10-15|CONT-0022|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-10-15|CONT-0022|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2024-11-26|CONT-0023,AAPL,2024-12-26T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-11-26|CONT-0023|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-11-26|CONT-0023|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-11-26|CONT-0023|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2024-11-26|CONT-0023|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2025-07-01|CONT-0024,AAPL,2025-07-30T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-07-01|CONT-0024|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-07-01|CONT-0024|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-07-01|CONT-0024|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2025-08-07|CONT-0025,AAPL,2025-09-05T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-08-07|CONT-0025|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-08-07|CONT-0025|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-08-07|CONT-0025|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-08-07|CONT-0025|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2025-09-19|CONT-0026,AAPL,2025-10-17T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-09-19|CONT-0026|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-09-19|CONT-0026|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-09-19|CONT-0026|000003|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-09-19|CONT-0026|000004|EXIT,0,0,0.175,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2025-10-20|CONT-0027,AAPL,2025-11-17T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-10-20|CONT-0027|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-10-20|CONT-0027|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-10-20|CONT-0027|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2025-12-01|CONT-0028,AAPL,2025-12-30T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-12-01|CONT-0028|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-12-01|CONT-0028|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2025-12-01|CONT-0028|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2026-02-04|CONT-0029,AAPL,2026-02-13T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2026-02-04|CONT-0029|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2026-02-04|CONT-0029|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2026-02-04|CONT-0029|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AAPL|2026-04-15|CONT-0030,AAPL,2026-04-15T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AAPL|2026-04-15|CONT-0030|000001|ENTRY,0,0,0.04375,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2021-06-17|CONT-0001,AMD,2021-07-15T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-06-17|CONT-0001|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-06-17|CONT-0001|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-06-17|CONT-0001|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-06-17|CONT-0001|000004|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-06-17|CONT-0001|000005|EXIT,0,0,0.21875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2021-07-28|CONT-0002,AMD,2021-08-09T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-07-28|CONT-0002|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-07-28|CONT-0002|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-07-28|CONT-0002|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-07-28|CONT-0002|000004|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-07-28|CONT-0002|000005|EXIT,0,0,0.21875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2021-10-13|CONT-0003,AMD,2021-11-10T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-10-13|CONT-0003|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-10-13|CONT-0003|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-10-13|CONT-0003|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-10-13|CONT-0003|000004|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-10-13|CONT-0003|000005|EXIT,0,0,0.21875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2021-11-29|CONT-0004,AMD,2021-12-03T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-11-29|CONT-0004|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-11-29|CONT-0004|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2021-11-29|CONT-0004|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2022-03-29|CONT-0005,AMD,2022-03-31T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-03-29|CONT-0005|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-03-29|CONT-0005|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-03-29|CONT-0005|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2022-05-17|CONT-0006,AMD,2022-05-20T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-05-17|CONT-0006|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-05-17|CONT-0006|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-05-17|CONT-0006|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2022-06-02|CONT-0007,AMD,2022-06-09T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-06-02|CONT-0007|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-06-02|CONT-0007|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-06-02|CONT-0007|000003|EXIT,0,0,0.13124999999999998,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2022-07-20|CONT-0008,AMD,2022-08-09T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-07-20|CONT-0008|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-07-20|CONT-0008|000002|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-07-20|CONT-0008|000003|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-07-20|CONT-0008|000004|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-07-20|CONT-0008|000005|EXIT,0,0,0.21875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
l3_graph:canonical_source_event:LIFECYCLE|AMD|2022-11-10|CONT-0009,AMD,2022-12-06T14:30:00+00:00,l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-11-10|CONT-0009|000001|ENTRY;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-11-10|CONT-0009|000002|ADD;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-11-10|CONT-0009|000003|SCALE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-11-10|CONT-0009|000004|REDUCE;l3_edge:canonical_source_event:CANONICAL|LIFECYCLE|AMD|2022-11-10|CONT-0009|000005|EXIT,0,0,0.21875,0.0,0,1.0,CONTEXT_ONLY,,MISSING_FRESHNESS_CERTIFICATION;UNCERTIFIED_SOURCE,0.35,0.35,True
