report_dir,relative_path,source_path,target_path,artifact_class,size_bytes,archive_state,migration_action,reference_count,references,directory_reference_count,directory_references
task_407_raw_native_vectorized_rebuild,artifact_manifest.csv,docs/reports/task_407_raw_native_vectorized_rebuild/artifact_manifest.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/artifact_manifest.csv,small_table,1109,archive_candidate,keep_small_or_report_artifact,1,tasks/archive_candidate_registry.csv,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,entry_reduce_failure_decomposition.csv,docs/reports/task_407_raw_native_vectorized_rebuild/entry_reduce_failure_decomposition.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/entry_reduce_failure_decomposition.csv,small_table,2152,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,raw_native_combo_quality.csv,docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_combo_quality.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_combo_quality.csv,small_table,77669,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,raw_native_decision_snapshot_log.csv,docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_decision_snapshot_log.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_decision_snapshot_log.csv,decision,354964924,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,raw_native_entry_candidate_log.csv.migrated.txt,docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_entry_candidate_log.csv.migrated.txt,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_entry_candidate_log.csv.migrated.txt,other,404,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,raw_native_label_quality_summary.csv,docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_label_quality_summary.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_label_quality_summary.csv,small_table,320,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,raw_native_lifecycle_event_log.csv.migrated.txt,docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_lifecycle_event_log.csv.migrated.txt,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_lifecycle_event_log.csv.migrated.txt,other,404,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,raw_native_lifecycle_labels.csv.migrated.txt,docs/reports/task_407_raw_native_vectorized_rebuild/raw_native_lifecycle_labels.csv.migrated.txt,data/artifacts/task_407_raw_native_vectorized_rebuild/raw_native_lifecycle_labels.csv.migrated.txt,other,398,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,task_407_decision.csv,docs/reports/task_407_raw_native_vectorized_rebuild/task_407_decision.csv,data/artifacts/task_407_raw_native_vectorized_rebuild/task_407_decision.csv,decision,580,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_407_raw_native_vectorized_rebuild,task_407_raw_native_vectorized_rebuild.md,docs/reports/task_407_raw_native_vectorized_rebuild/task_407_raw_native_vectorized_rebuild.md,data/artifacts/task_407_raw_native_vectorized_rebuild/task_407_raw_native_vectorized_rebuild.md,report,3572,archive_candidate,keep_small_or_report_artifact,0,,3,src/backtest/build_task407_raw_native_vectorized_rebuild.py|src/backtest/build_task480_symbol_structure_continuation_diagnostics.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,artifact_manifest.csv,docs/reports/task_487_regime_phase_target_validation/artifact_manifest.csv,data/artifacts/task_487_regime_phase_target_validation/artifact_manifest.csv,small_table,1320,archive_candidate,keep_small_or_report_artifact,1,tasks/archive_candidate_registry.csv,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,refined_market_phase_panel.csv,docs/reports/task_487_regime_phase_target_validation/refined_market_phase_panel.csv,data/artifacts/task_487_regime_phase_target_validation/refined_market_phase_panel.csv,small_table,460176,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,refined_theme_phase_panel.csv,docs/reports/task_487_regime_phase_target_validation/refined_theme_phase_panel.csv,data/artifacts/task_487_regime_phase_target_validation/refined_theme_phase_panel.csv,small_table,4307944,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,regime_phase_combo_quality.csv,docs/reports/task_487_regime_phase_target_validation/regime_phase_combo_quality.csv,data/artifacts/task_487_regime_phase_target_validation/regime_phase_combo_quality.csv,small_table,8758,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,regime_phase_failure_audit.csv,docs/reports/task_487_regime_phase_target_validation/regime_phase_failure_audit.csv,data/artifacts/task_487_regime_phase_target_validation/regime_phase_failure_audit.csv,small_table,1895,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,regime_phase_leakage_audit.csv,docs/reports/task_487_regime_phase_target_validation/regime_phase_leakage_audit.csv,data/artifacts/task_487_regime_phase_target_validation/regime_phase_leakage_audit.csv,small_table,260,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,regime_phase_lifecycle_panel.csv,docs/reports/task_487_regime_phase_target_validation/regime_phase_lifecycle_panel.csv,data/artifacts/task_487_regime_phase_target_validation/regime_phase_lifecycle_panel.csv,large_panel,102928266,archive_candidate,skip_referenced,2,src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,regime_phase_portfolio_quality.csv,docs/reports/task_487_regime_phase_target_validation/regime_phase_portfolio_quality.csv,data/artifacts/task_487_regime_phase_target_validation/regime_phase_portfolio_quality.csv,small_table,1038,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,regime_phase_portfolio_rulebook.csv,docs/reports/task_487_regime_phase_target_validation/regime_phase_portfolio_rulebook.csv,data/artifacts/task_487_regime_phase_target_validation/regime_phase_portfolio_rulebook.csv,small_table,1035,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,regime_phase_split_quality.csv,docs/reports/task_487_regime_phase_target_validation/regime_phase_split_quality.csv,data/artifacts/task_487_regime_phase_target_validation/regime_phase_split_quality.csv,small_table,2794,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
task_487_regime_phase_target_validation,task_487_decision.csv,docs/reports/task_487_regime_phase_target_validation/task_487_decision.csv,data/artifacts/task_487_regime_phase_target_validation/task_487_decision.csv,decision,603,archive_candidate,keep_small_or_report_artifact,0,,4,src/backtest/build_task487_regime_phase_target_validation.py|src/backtest/build_task488_regime_only_target_recovery.py|src/backtest/build_task489_broad_regime_cell_portfolio.py|tasks/archive_candidate_registry.csv
